"Rec No"	"Log:Obj Id"	"Log:Set No"	"Log:Condition"	"Log:Retval"	"Log:Unconditional"	"Log:Action"	"Log:Source"	"Log:Csource"	"Log:Flag1"	"Log:Flag2"	"Log:Flag3"	"Log:Filler"	"Log:Exlong"	"Log:User"	"Log:Date"
          82	"I9902"	      1		""sigbloc1""	  1	"IMPORT"	  2	  0	  0	  0	  0		             0	"LF"	"        72,012"
          83	"I9903"	      1	"~CSIDEV = 2"	""certserv""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        72,767"
          84	"D0007"	      1	"~A5050V !INC 1"	"E0007V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
          85	"D0008"	      1	"~A5050V !INC 2"	"E0008V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
          86	"D0009"	      1	"~A5050V !INC 3"	"E0009V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
          87	"D0010"	      1	"~A5050V !INC 4"	"E0010V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
          88	"D0011"	      1	"~A5050V !INC 5"	"E0011V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
          89	"D0012"	      1	"~A3100V !>3"	"E0012V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"RS"	"        72,290"
          90	"D0013"	      1	"~A3100V != 1"	"E0013V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"RS"	"        72,290"
          91	"D0014"	      1	"~A3100V != 2"	"E0014V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"RS"	"        72,290"
          92	"D0015"	      1	"~A3100V != 3"	"E0015V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"RS"	"        72,290"
          93	"D0017"	      1	"~A4011V =2"	"E0017V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"JW"	"        72,899"
          94	"D0018"	      1	"~A5016V != 1"	"E0018V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
          95	"D0019"	      1	"~A5016V != 2"	"E0019V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
          96	"D0020"	      1	"~A5016V != 3"	"E0020V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
          97	"D0041"	      1	"~A1043V != 1"	"E0041V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
          98	"D0042"	      1	"~A1043V != 2"	"E0042V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
          99	"D0050"	      1	"~A5010V !INC 1"	"E0050V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         100	"D0051"	      1	"~A5010V !INC 2"	"E0051V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         101	"D0052"	      1	"~A5010V !INC 3"	"E0052V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         102	"D0053"	      1	"~A5010V !INC 4"	"E0053V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         103	"D0054"	      1	"~A5010V !INC 5"	"E0054V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         104	"D0055"	      1	"~A5010V !INC 6"	"E0055V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         105	"D0056"	      1	"~A5010V !INC 7"	"E0056V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         106	"D0057"	      1	"~A5010V !INC 8"	"E0057V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         107	"D0058"	      1	"~A5010V !INC 9"	"E0058V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         108	"D0059"	      1	"~A5010V !INC 10"	"E0059V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         109	"D0060"	      1	"~A5010V !INC 11"	"E0060V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         110	"D0066"	      1	"~A5012V !INC 1"	"E0066V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         111	"D0067"	      1	"~A5012V !INC 2"	"E0067V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         112	"D0068"	      1	"~A5012V !INC 3"	"E0068V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         113	"D0069"	      1	"~A5012V !INC 4"	"E0069V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         114	"D0070"	      1	"~A5012V !INC 5"	"E0070V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         115	"D0071"	      1	"~A5012V !INC 6"	"E0071V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         116	"D0072"	      1	"~A5012V !INC 7"	"E0072V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         117	"D0073"	      1	"~A5012V !INC 8"	"E0073V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         118	"D0074"	      1	"~A5012V !INC 9"	"E0074V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         119	"D0075"	      1	"~A5012V !INC 10"	"E0075V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         120	"D0076"	      1	"~A5012V !INC 11"	"E0076V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         121	"D0077"	      1	"~A5012V !INC 12"	"E0077V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         122	"D0078"	      1	"~A5012V !INC 13"	"E0078V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,257"
         123	"D0109"	      1	"~A5005V = 1"	"E0109V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"EAD"	"        72,256"
         124	"D0116"	      1	"~A5062V != 1"	"E0116V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"amd"	"        76,143"
         125	"D0117"	      1	"~A5062V != 2"	"E0117V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"amd"	"        76,143"
         126	"D0118"	      1	"~A5062V != 3"	"E0118V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"amd"	"        76,143"
         127	"D0122"	      1	"~A4060V != 1"	"E0122V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         128	"D0123"	      1	"~A4060V != 2"	"E0123V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         129	"D0124"	      1	"~A4060V != 3"	"E0124V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         130	"D0125"	      1	"~A4060V != 4"	"E0125V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         131	"D0126"	      1	"~A4060V < 3"	"E0126V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
         132	"D0143"	      1	"~A5065V !INC 5"	"E0143V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         133	"D0144"	      1	"~A5065V !INC 6"	"E0144V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         134	"D0145"	      1	"~A5065V !INC 1"	"E0145V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         135	"D0146"	      1	"~A5065V !INC 2"	"E0146V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         136	"D0147"	      1	"~A5065V !INC 3"	"E0147V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         137	"D0148"	      1	"~A5065V !INC 4"	"E0148V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         138	"D0149"	      1	"~A5065V INC 1 AND ~A5065V !INC 2 AND ~A5065V !INC 3 AND ~A5065V !INC 4"	"E0149V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         139	"D0150"	      1	"~A5065V !INC 1 AND ~A5065V INC 2 AND ~A5065V !INC 3 AND ~A5065V !INC 4"	"E0150V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         140	"D0151"	      1	"~A5065V !INC 1 AND ~A5065V !INC 2 AND ~A5065V INC 3 AND ~A5065V !INC 4"	"E0151V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         141	"D0152"	      1	"~A5065V !INC 1 AND ~A5065V !INC 2 AND ~A5065V !INC 3 AND ~A5065V INC 4"	"E0152V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,060"
         142	"D0163"	      1	"~A3112V < 2"	"E0163V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
         143	"D0165"	      1	"~A3111V < 2"	"E0165V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
         144	"D0184"	      1	"~A7300V != 1"	"E0184V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"EHN"	"        74,405"
         145	"D0185"	      1	"~A7300V != 2"	"E0185V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"EHN"	"        74,405"
         146	"D3135"	      1	"~A3135V !INC 1"	"E3135V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
         147	"D3136"	      1	"~A3135V !INC 2"	"E3136V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
         148	"D3137"	      1	"~A3135V !INC 3"	"E3137V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
         149	"D3138"	      1	"~A3135V !INC 4"	"E3138V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
         151	"A5012"	      1		"~A5010V"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,920"
         152	"I9907"	      1	"~P9992V > 1"	""S""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,185"
         153	"I9998"	      1	"~A9998V = 1"	""District Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         154	"I9998"	      2	"~A9998V = 2"	""Assistant District Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         155	"I9998"	      3	"~A9998V = 3"	""County Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         156	"I9998"	      4	"~A9998V = 4"	""Assistant County Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         157	"I9998"	      5	"~A9998V = 5"	""City Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         158	"I9998"	      6	"~A9998V = 6"	""Assistant City Attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         159	"I9996"	      1	"~A9100V = 1"	""Cause ~P9000V, styled 'The State of Texas v. ~P1408G' in the ~P9012V Judicial District of ~P9005G County, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,809"
         160	"L0001"	      1	"LOOP() <= ~A9995V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"LF"	"        72,011"
         161	"I9993"	      1	"~A9100V = 1"	""caption1""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"MEE"	"        72,894"
         162	"I9992"	      1	"~A9994V = 1"	""the State""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,894"
         163	"I9992"	      2	"~A9994V = 2"	""the Defendant""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,894"
         164	"I9911"	      1	"~A3100V = 1"	""Class A Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         165	"I9911"	      2	"~A3100V = 2"	""Class B Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         166	"I9911"	      3	"~A3100V = 3"	""Class C Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         167	"I9911"	      4	"~A3100V = 4"	""Third Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         168	"I9911"	      5	"~A3100V = 5"	""Second Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         169	"I9911"	      6	"~A3100V = 6"	""First Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         170	"I9911"	      7	"~A3100V = 7"	""Capital Felony in which the death penalty is sought""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         171	"I9911"	      8	"~A3100V = 8"	""Capital Felony in which the death penalty is not sought""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         172	"I9989"	      1	"~A9993V = "Y""	""appointed by the Court""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,125"
         173	"I9989"	      2	"~A9993V = "N""	""employed""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,125"
         174	"I9912"	      1		""notary""	  1	"IMPORT"	  2	  0	  0	  0	  0		             0	"LF"	"        72,017"
         175	"I9913"	      1		""caption5""	  1	"IMPORT"	  2	  0	  0	  0	  0		             0	"GC"	"        72,220"
         176	"I9915"	      1		""caption8""	  1	"IMPORT"	  2	  0	  0	  0	  0		             0	"LF"	"        72,014"
         177	"I9983"	      1	"~A9990V = 1"	""indictment""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         178	"I9983"	      2	"~A9990V = 2"	""information""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         179	"I9982"	      1	"~A9990V = 1"	""INDICTMENT""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         181	"I9979"	      1	"~A9988V = 1"	""appeared in person""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,234"
         182	"I9979"	      2	"~A9988V = 2"	""appeared in person and by attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,234"
         183	"I9979"	      3	"~A9988V = 3"	""appeared by attorney""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,234"
         184	"I9978"	      1	"~A9986V = 1"	""hearing""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         185	"I9978"	      2	"~A9986V = 2"	""jury trial""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         186	"I9978"	      3	"~A9986V = 3"	""trial before the court""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         189	"I9972"	      5	"~AA908V = 5"	""Section 21.11 (Indecency with a Child)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         190	"I9972"	      6	"~AA908V = 6"	""Section 22.011 (Sexual Assault)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         191	"I9972"	      7	"~AA908V = 7"	""Section 22.02 (Aggravated Assault)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         192	"I9972"	      8	"~AA908V = 8"	""Section 22.021 (Aggravated Sexual Assault)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         193	"I9972"	      9	"~AA908V = 9"	""Section 22.04(e) (Injury to a Child, Elderly Individual or Disabled Individual)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         194	"I9972"	     10	"~AA908V = 10"	""Section 22.04(f) (Injury to a Child, Elderly Individual, or Disabled Individual)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         195	"I9972"	     11	"~AA908V = 11"	""Section 25.02 (Prohibited Sexual Conduct)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         196	"I9972"	     13	"~AA908V = 13"	""Section 43.25 (Sexual Performance of a Child)""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"BRS"	"        80,524"
         197	"L0002"	      1	"LOOP() <= ~A9007V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"LF"	"        71,926"
         199	"P9814"	      1		"" ""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        72,012"
